Academic Year,Module Code,Assessment Pattern Code,Assessment Sequence Number,Assessment Name,Assessment Weight,Assessment Summary,Module Instance Key,Module Delivery Instance Key,Assessment Body Instance Key
2023,COMP0133,COMP0133A7PF,1,Controlled Condition Exam (In Person),70,#001 70% EC05 Controlled Condition Exam (In Person),2023-COMP0133,2023-COMP0133-A7P,COMP0133A7PF-1
2023,COMP0133,COMP0133A7PF,2,Coursework 1,15,#002 15% CN01 Coursework 1,2023-COMP0133,2023-COMP0133-A7P,COMP0133A7PF-2
2023,COMP0133,COMP0133A7PF,3,Coursework 2,15,#003 15% CN01 Coursework 2,2023-COMP0133,2023-COMP0133-A7P,COMP0133A7PF-3
2023,COMP0133,COMP0133A7UF,1,Controlled Condition Exam (In Person),70,#001 70% EC05 Controlled Condition Exam (In Person),2023-COMP0133,2023-COMP0133-A7U,COMP0133A7UF-1
2023,COMP0133,COMP0133A7UF,2,Coursework 1,15,#002 15% CN01 Coursework 1,2023-COMP0133,2023-COMP0133-A7U,COMP0133A7UF-2
2023,COMP0133,COMP0133A7UF,3,Coursework 2,15,#003 15% CN01 Coursework 2,2023-COMP0133,2023-COMP0133-A7U,COMP0133A7UF-3
2023,COMP0135,COMP0135A7PF,1,Coursework,100,#001 100% CN01 Coursework,2023-COMP0135,2023-COMP0135-A7P,COMP0135A7PF-1
2023,COMP0137,COMP0137A7PF,1,Controlled Condition Exam (remote-online),80,#001 80% EC03 Controlled Condition Exam (remote-online),2023-COMP0137,2023-COMP0137-A7P,COMP0137A7PF-1
2023,COMP0137,COMP0137A7PF,2,Coursework 1,10,#002 10% CN01 Coursework 1,2023-COMP0137,2023-COMP0137-A7P,COMP0137A7PF-2
2023,COMP0137,COMP0137A7PF,3,Coursework 2,10,#003 10% CN01 Coursework 2,2023-COMP0137,2023-COMP0137-A7P,COMP0137A7PF-3
2023,COMP0137,COMP0137A7UF,1,Controlled Condition Exam (remote-online),80,#001 80% EC03 Controlled Condition Exam (remote-online),2023-COMP0137,2023-COMP0137-A7U,COMP0137A7UF-1
2023,COMP0137,COMP0137A7UF,2,Coursework 1,10,#002 10% CN01 Coursework 1,2023-COMP0137,2023-COMP0137-A7U,COMP0137A7UF-2
2023,COMP0137,COMP0137A7UF,3,Coursework 2,10,#003 10% CN01 Coursework 2,2023-COMP0137,2023-COMP0137-A7U,COMP0137A7UF-3
